Dist_Bin_m,Count,Radar_Vel_Mean,Radar_Vel_Std,Track_Vel_Mean,Track_Vel_Std,Score_Mean
-10.0,0,,,14.906251370779884,19.29377619898282,49.8578767657569
20.0,2,34.17966842651367,0.0,35.3190543639649,0.31904018720356603,62.97978631348255
30.0,29,34.88683350661705,8.819653459830958,35.7671268611203,7.948313752860405,35.72952417920621
40.0,330,37.335084566636525,13.349073525639033,35.972711286091986,8.717277335191243,31.818181137746606
50.0,423,39.4512176838327,9.144964563214083,38.62487901671917,8.442724353134809,33.65350996330863
60.0,482,42.26019230719918,17.379264554059056,38.5512263579408,10.119380752608922,36.31451635254204
70.0,487,40.443356025684054,18.356779650251127,37.08477828177195,9.58836849622666,40.71908460532936
80.0,435,35.96804730645542,11.151095704522495,25.175593782328946,18.01000374349725,44.512786157616844
90.0,295,40.52816714723231,19.018481417192447,16.992825163413986,20.904879470893636,61.334186025099186
100.0,63,38.78237838745117,11.74045408449801,35.85947777044797,5.702667137505024,56.81014881114936
