Dist_Bin_m,Count,Radar_Vel_Mean,Radar_Vel_Std,Track_Vel_Mean,Track_Vel_Std,Score_Mean
-10.0,0,,,21.665340607828483,16.532196619725894,57.806896419204435
10.0,3,57.972956085205084,63.23943506009669,17.46484461155826,15.126373693171448,74.61228344280782
20.0,4,156.03416290283204,32.39988470010822,8.294700329149986,9.577894935764045,24.786342307914904
30.0,44,25.82624395543879,27.759050435653478,18.60722405161383,10.627379384314102,29.681720935284247
40.0,406,24.77565817633286,16.2667581668064,9.003379216196347,12.922482621247532,48.306124707382956
50.0,479,30.43030902328969,18.071055911006432,10.23166925310058,13.678155713467763,53.58055946417978
60.0,508,30.149896913626062,13.044430588907716,29.001205219829608,8.61119661231475,52.769138845771245
70.0,387,34.957290703751326,25.771016998438547,31.267904465161216,9.070178451589912,54.85119132127635
80.0,255,37.16840158013736,19.540620634270834,34.66154999433867,6.872688980321821,51.25424996426872
90.0,215,32.34701649643654,10.28831037367106,31.99526085194704,9.319577574459222,54.81862037314518
100.0,58,30.631505722835147,10.738902784678169,30.09155493512783,10.191669320455778,59.85656473748464
