Unique_Key,Local_ID,Lane_Path,Final_Lane,Count,Mean_Dist,Min_Dist,Max_Dist,Mean_Radar_Vel,Mean_Track_Vel,Mean_Score
11(OUT1),11,OUT1,OUT1,644,63.745171135888185,-1.0,96.67720888942063,31.938874544416155,9.002010142422675,77.08180479672457
12(IN3),12,IN3,IN3,114,54.13415139173477,-1.0,103.15319140795623,48.21904804229736,41.83830198973809,46.009943150914445
12(OUT1),12,OUT1,OUT1,587,60.48107435806623,-1.0,96.67721259490305,20.043010534766978,5.64747620431054,45.95133446428316
13(IN3),13,IN3,IN3,123,63.232730774684946,-1.0,103.15319112259783,42.426313041020364,36.9624191053747,38.75545739866753
13(OUT1),13,OUT1,OUT1,68,54.87584474223369,-1.0,77.55763289752382,29.580064461836177,29.72973386197598,54.02861411247903
14(IN3),14,IN3,IN3,108,62.89906942968803,-1.0,91.74312091226237,41.64582439490727,42.88204893090641,31.019369552511407
14(OUT1),14,OUT1,OUT1,38,41.142800078050044,-1.0,78.63696361221533,37.25660710180959,29.441968026415445,29.12314715891711
15(IN3),15,IN3,IN3,63,61.36896383897467,-1.0,82.8001000825058,43.50968714229396,43.974086287709206,45.17622460390386
15(OUT1),15,OUT1,OUT1,2,43.09613878145937,43.01904332312933,43.173234239789416,30.52323818206787,30.602818139894254,21.728445944589957
16(IN3),16,IN3,IN3,114,50.58650399300697,-1.0,96.523013411473,39.23445177329214,23.803041044099473,58.89670848817667
17(IN3),17,IN3,IN3,112,61.1042903322324,-1.0,96.44592318528518,43.447922008037565,30.642673274566956,57.62952603951529
18(IN3),18,IN3,IN3,95,30.83043849762941,-1.0,88.35093754607749,44.21497721672058,9.19729770320846,13.752098377976017
19(IN3),19,IN3,IN3,133,63.60604670447904,-1.0,103.15318672959799,36.049393272399904,35.155998559867015,47.380552339779
20(IN2),20,IN2,IN2,28,42.23440661931441,-1.0,51.345307802056,43.22358957926432,43.32695986708961,46.65553692388057
20(IN3),20,IN3,IN3,122,56.7923269499901,-1.0,102.99899929817575,41.235185980796814,37.434759376544704,48.6022051747742
21(IN2),21,IN2,IN2,26,50.242258551694434,44.406754362040964,61.05929093832427,43.41245815570539,43.41371197143844,26.22498427372418
23(IN2),23,IN2,IN2,28,61.516511821218764,-1.0,76.32410768282851,51.6180243565486,51.615996487583395,34.35466801518779
23(IN2->IN3),23,IN2->IN3,IN3,30,34.39277743385802,-1.0,74.93639503739847,50.13774915422713,50.020135081462165,25.856289908389
24(IN2),24,IN2,IN2,113,61.15173035394959,-1.0,102.07385817079876,47.12041456103325,45.13963000593093,47.97271961659582
25(IN2),25,IN2,IN2,117,44.34036605538347,-1.0,103.15318808482493,47.035175761661016,44.1489040194059,53.02483115218698
26(IN2),26,IN2,IN2,135,46.86491708750913,-1.0,102.6906180349473,45.92045375599581,41.32488571205013,24.589231771618024
27(IN2),27,IN2,IN2,138,56.99946756149448,-1.0,102.22804659881308,39.56082807217005,39.36348674696239,18.25057179395792
28(IN2),28,IN2,IN2,93,57.12131441954146,-1.0,103.15319402619293,38.92905170917511,36.17565777766426,8.996240995482726
29(IN2),29,IN2,IN2,117,49.7527207269867,-1.0,96.21463146352599,38.8455895113945,34.284254982774904,47.125429696280875
3(IN1),3,IN1,IN1,125,54.10628866082742,-1.0,97.44815692954,35.24145473881772,31.97108575589035,41.28328944537259
30(IN2),30,IN2,IN2,158,59.76336106248038,-1.0,103.15318808482493,34.275052871704105,33.59848880200217,40.118547165266335
31(IN2),31,IN2,IN2,134,71.28193049940491,-1.0,100.37776420368202,32.74522225306584,32.827665811742975,25.46374449709912
32(IN2),32,IN2,IN2,153,51.26479848798068,-1.0,102.92190290164041,35.18507839409081,33.60926086729805,25.496580927026642
33(IN2),33,IN2,IN2,135,63.35418138774182,-1.0,101.91966894000733,36.25456818383315,36.37465887602985,37.388882383124404
34(IN2),34,IN2,IN2,117,40.987871966496506,-1.0,101.3029127035127,35.4334041075273,35.01870683596272,19.231791109436084
35(IN2),35,IN2,IN2,78,60.93253128410091,-1.0,102.84480854739478,43.03336341564472,28.715009273730246,57.2506721187971
36(IN2),36,IN2,IN2,38,57.730881494309784,-1.0,103.15318674247229,46.66958915047023,25.066688895027998,69.2884767639943
4(IN1),4,IN1,IN1,79,62.38287386885348,-1.0,99.45263156120124,54.68879319190979,52.640618374953675,27.77945267622783
5(OUT2),5,OUT2,OUT2,644,2.211319164708608,-1.0,84.03361674446974,37.41594862256731,1.7487403172630929,50.002529209291446
6(OUT2),6,OUT2,OUT2,60,47.917746854562424,-1.0,86.03808589127942,52.11358402797154,46.460826976764935,59.486890694897745
6(OUT2->OUT3),6,OUT2->OUT3,OUT3,47,28.823593336482407,-1.0,97.60234735476791,39.669611663818365,33.95804062051038,52.42483738088111
7(OUT2),7,OUT2,OUT2,95,45.548256719808435,-1.0,83.9565230161104,36.17222885698886,31.919387033099916,55.81682428839441
9(OUT3),9,OUT3,OUT3,88,50.322633271817104,-1.0,85.57551130588134,46.861665916442874,43.07843005314261,60.68674716953326
