Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,Reproj_Error_px
1771495796.591931,17,1,IN2,IN2,1(IN2),101.30291103958496,38.94892272949219,34.50405713358233,75.92537411953467,
1771495796.591931,16,1,IN3,IN3,1(IN3),67.38108045628006,50.2361629486084,49.87416524475624,57.537379427043554,0.4771876633167267
1771495796.591931,14,2,OUT1,OUT1,2(OUT1),43.63580400690369,25.1180814743042,25.21205747999842,71.41417348439643,
1771495796.591931,5,1,OUT1,OUT1,1(OUT1),96.67720620141074,162.7906036376953,0.0,70.40081194288287,
1771495796.591931,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771495796.6407628,17,1,IN2,IN2,1(IN2),-1.0,,35.09003754892657,75.7735233712956,
1771495796.6407628,16,1,IN3,IN3,1(IN3),66.61013468556541,50.2361629486084,49.992912249444714,56.28417957184822,0.4126776456832886
1771495796.6407628,14,2,OUT1,OUT1,2(OUT1),-1.0,,25.21205747999842,71.27134513742763,
1771495796.6407628,5,1,OUT1,OUT1,1(OUT1),95.75207053146762,,0.0,70.40081194288287,
1771495796.6407628,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771495796.6893091,17,1,IN2,IN2,1(IN2),-1.0,,35.67259331980059,75.7735233712956,
1771495796.6893091,16,1,IN3,IN3,1(IN3),65.53080089467305,50.39513854980469,50.12483107623679,55.0348815128413,0.4126776456832886
1771495796.6893091,14,2,OUT1,OUT1,2(OUT1),44.406753380991375,25.27705707550049,25.23912588133695,70.45758096642354,
1771495796.6893091,5,1,OUT1,OUT1,1(OUT1),95.59787787195573,,0.0,70.40081194288287,
1771495796.6893091,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771495796.741297,17,1,IN2,IN2,1(IN2),-1.0,,36.29644795694659,75.7735233712956,
1771495796.741297,16,1,IN3,IN3,1(IN3),65.22242013785778,50.39513854980469,50.21347684137294,54.02162721523682,0.27264609932899475
1771495796.741297,14,2,OUT1,OUT1,2(OUT1),45.023517714429865,25.27705707550049,25.252995769426402,69.5911592785177,0.3811783790588379
1771495796.741297,5,1,OUT1,OUT1,1(OUT1),96.21464101351901,,0.0,70.40081194288287,0.4130193591117859
1771495796.741297,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771495796.7859209,17,1,IN2,IN2,1(IN2),-1.0,,36.29652295236641,75.7735233712956,
1771495796.7859209,16,1,IN3,IN3,1(IN3),64.60565930416543,50.55411415100098,50.325182641203604,52.99825526999893,0.27264609932899475
1771495796.7859209,14,2,OUT1,OUT1,2(OUT1),45.79446643684355,25.1180814743042,25.206511642614064,69.33119305343047,0.3811783790588379
1771495796.7859209,5,1,OUT1,OUT1,1(OUT1),-1.0,,0.0,70.40081194288287,0.4130193591117859
1771495796.7859209,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771495796.8444314,17,1,IN2,IN2,1(IN2),98.52748243656637,39.743800735473634,37.534060681250786,73.89584553598625,
1771495796.8444314,16,1,IN3,IN3,1(IN3),63.21794672879083,50.55411415100098,50.40025527613443,51.93462864768831,
1771495796.8444314,14,2,OUT1,OUT1,2(OUT1),45.33190079839444,25.27705707550049,25.230168876918313,69.32015141280554,
1771495796.8444314,5,1,OUT1,OUT1,1(OUT1),-1.0,,0.0,70.40081194288287,
1771495796.8444314,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771495796.8951902,17,1,IN2,IN2,1(IN2),98.37329529644028,39.90277633666992,38.14316674509356,72.23169400064894,
1771495796.8951902,16,1,IN3,IN3,1(IN3),62.446997424636265,50.71308975219727,50.502841098211015,50.90260479898417,
1771495796.8951902,14,2,OUT1,OUT1,2(OUT1),46.71960965706987,25.27705707550049,25.24570102034035,69.5792176391443,
