Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,Reproj_Error_px
1771497937.3109732,21,1,IN2,IN2,1(IN2),-1.0,,39.27533481105261,69.05682188856042,
1771497937.3109732,18,1,IN3,IN3,1(IN3),59.209008677469264,51.1900131225586,50.92025639632989,73.23657619845433,7.430988788604736
1771497937.3109732,16,3,OUT1,OUT1,3(OUT1),48.10731786528604,25.43603096008301,25.327184361508177,65.83553424313362,11.219198226928711
1771497937.3109732,3,2,OUT1,OUT1,2(OUT1),95.75207071876623,,0.0,66.93721183045798,
1771497937.3109732,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.362759,21,1,IN2,IN2,1(IN2),-1.0,,39.27533481105261,69.05682188856042,
1771497937.362759,18,1,IN3,IN3,1(IN3),59.209008677469264,51.1900131225586,51.00871668843309,72.07540400906353,7.430988788604736
1771497937.362759,16,3,OUT1,OUT1,3(OUT1),47.95312803617791,25.43603096008301,25.364262127350756,66.22848377987283,11.219198226928711
1771497937.362759,3,2,OUT1,OUT1,2(OUT1),95.75207071876623,,0.0,66.93721183045798,
1771497937.362759,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.4181135,21,1,IN2,IN2,1(IN2),94.82692307630089,40.85662651062012,40.12700271653315,67.29999783694781,
1771497937.4181135,18,1,IN3,IN3,1(IN3),58.28386651906135,51.1900131225586,51.06816807617139,70.93098599241638,7.912842750549316
1771497937.4181135,16,3,OUT1,OUT1,3(OUT1),47.953129295595,25.43603096008301,25.388205553409154,66.8608214012594,
1771497937.4181135,3,2,OUT1,OUT1,2(OUT1),96.06044674639692,,0.0,66.93721183045798,
1771497937.4181135,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.4699254,21,1,IN2,IN2,1(IN2),-1.0,,40.12700271653315,67.16539784127391,
1771497937.4699254,18,1,IN3,IN3,1(IN3),57.51291690377375,51.348988723754886,51.16025548580737,69.84758274622348,
1771497937.4699254,16,3,OUT1,OUT1,3(OUT1),49.49502893625043,25.43603096008301,25.404011137314733,67.3835175495087,
1771497937.4699254,3,2,OUT1,OUT1,2(OUT1),-1.0,,0.0,66.93721183045798,
1771497937.4699254,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.5268958,21,1,IN2,IN2,1(IN2),-1.0,,40.12700271653315,67.16539784127391,6.7940144538879395
1771497937.5268958,18,1,IN3,IN3,1(IN3),57.51291690377375,51.348988723754886,51.222145264116925,68.82753656443617,8.662605285644531
1771497937.5268958,16,3,OUT1,OUT1,3(OUT1),49.49502893625043,25.43603096008301,25.41454814019527,67.73245162612575,10.81309986114502
1771497937.5268958,3,2,OUT1,OUT1,2(OUT1),-1.0,,0.0,66.93721183045798,
1771497937.5268958,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.5764365,21,1,IN2,IN2,1(IN2),92.35989486033327,41.333553314208984,40.73583381977479,65.71245994931749,
1771497937.5764365,18,1,IN3,IN3,1(IN3),56.5877760526416,51.507964324951175,51.31587155165781,67.69676662143083,8.770207405090332
1771497937.5764365,16,3,OUT1,OUT1,3(OUT1),49.032457706628385,25.43603096008301,25.421604027942905,68.12297858780101,11.11729907989502
1771497937.5764365,13,2,IN2,IN2,2(IN2),-1.0,,0.0,79.84,
1771497937.5764365,3,2,OUT1,OUT1,2(OUT1),-1.0,,0.0,66.93721183045798,
1771497937.5764365,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.6270344,21,1,IN2,IN2,1(IN2),91.89731807237132,41.333553314208984,40.974477376134146,64.3447080058383,
1771497937.6270344,18,1,IN3,IN3,1(IN3),55.81682736043788,51.666939926147464,51.43099447154075,66.4645029436122,8.715598106384277
1771497937.6270344,16,3,OUT1,OUT1,3(OUT1),50.26597823286168,25.43603096008301,25.42633832861359,68.52782894460415,
1771497937.6270344,13,2,IN2,IN2,2(IN2),58.74643547669564,51.666939926147464,43.49179120365578,76.19018594214879,
1771497937.6270344,3,2,OUT1,OUT1,2(OUT1),95.75207071876623,,0.0,66.93721183045798,
1771497937.6270344,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.6881845,21,1,IN2,IN2,1(IN2),91.28055662413459,41.333553314208984,41.10326671590814,62.83209592072318,
1771497937.6881845,18,1,IN3,IN3,1(IN3),54.737494772098295,51.666939926147464,51.508366082597234,65.09336811864117,9.221872329711914
1771497937.6881845,16,3,OUT1,OUT1,3(OUT1),50.88274011787346,25.43603096008301,25.429517782635017,68.94536343552485,
1771497937.6881845,13,2,IN2,IN2,2(IN2),-1.0,,43.49179120365578,76.0378055702645,
1771497937.6881845,3,2,OUT1,OUT1,2(OUT1),96.21463695763032,,0.0,66.93721183045798,
1771497937.6881845,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.7507832,21,1,IN2,IN2,1(IN2),90.50960635901247,41.333553314208984,41.181916172107755,61.27599146911923,6.243846893310547
1771497937.7507832,18,1,IN3,IN3,1(IN3),54.2749238285059,51.507964324951175,51.508234337595646,63.75025051555513,9.457523345947266
1771497937.7507832,16,3,OUT1,OUT1,3(OUT1),50.65145316163715,25.43603096008301,25.43165390691521,69.287578095671,
1771497937.7507832,13,2,IN2,IN2,2(IN2),90.20122029246545,41.333553314208984,42.331918422923685,72.7711542730496,
1771497937.7507832,3,2,OUT1,OUT1,2(OUT1),96.52301366009725,,0.0,66.93721183045798,2.6296908855438232
1771497937.7507832,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.8068159,21,1,IN2,IN2,1(IN2),89.8928460792733,41.49252548217773,41.28566341305069,59.89358146708964,6.3582658767700195
1771497937.8068159,18,1,IN3,IN3,1(IN3),53.503972774021356,51.666939926147464,51.56027732321632,62.412950677396005,10.679265022277832
1771497937.8068159,16,3,OUT1,OUT1,3(OUT1),51.80788073654943,25.43603096008301,25.433089332019748,69.69187103875015,
1771497937.8068159,13,2,IN2,IN2,2(IN2),-1.0,,42.331918422923685,72.6256119645035,
1771497937.8068159,3,2,OUT1,OUT1,2(OUT1),-1.0,,0.0,66.93721183045798,2.516084671020508
1771497937.8068159,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.8564188,21,1,IN2,IN2,1(IN2),89.27608283951065,41.49252548217773,41.354064701866925,58.71463851566347,6.909382343292236
1771497937.8564188,18,1,IN3,IN3,1(IN3),52.578829428622576,51.666939926147464,51.59525429086452,61.05537152666295,8.676423072814941
1771497937.8564188,16,3,OUT1,OUT1,3(OUT1),50.88273681536666,25.43603096008301,25.434053984123285,69.94969704487002,
1771497937.8564188,13,2,IN2,IN2,2(IN2),-1.0,,42.331918422923685,72.6256119645035,
1771497937.8564188,3,2,OUT1,OUT1,2(OUT1),95.75206792641109,,0.0,66.93721183045798,
1771497937.8564188,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.9069872,21,1,IN2,IN2,1(IN2),-1.0,,41.354064701866925,58.59720923863214,
1771497937.9069872,18,1,IN3,IN3,1(IN3),51.653691171159664,51.348988723754886,51.514498501253954,59.77028345818973,9.508216857910156
1771497937.9069872,16,3,OUT1,OUT1,3(OUT1),51.80787750620436,25.43603096008301,25.434702285920082,70.07876781048617,
1771497937.9069872,13,2,IN2,IN2,2(IN2),-1.0,,42.331918422923685,72.6256119645035,
1771497937.9069872,3,2,OUT1,OUT1,2(OUT1),-1.0,,0.0,66.93721183045798,
1771497937.9069872,2,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771497937.9614818,21,1,IN2,IN2,1(IN2),-1.0,,41.354064701866925,58.59720923863214,
1771497937.9614818,18,1,IN3,IN3,1(IN3),51.65368820523952,51.507964324951175,51.51235580395551,58.46929575965553,11.181915283203125
