Unique_Key,Local_ID,Lane_Path,Final_Lane,Count,Mean_Dist,Min_Dist,Max_Dist,Mean_Radar_Vel,Mean_Track_Vel,Mean_Score
1(IN1),1,IN1,IN1,77,49.97219809746673,-1.0,100.84034141968023,38.45212597846985,30.35784739652328,51.44928738918202
1(IN2),1,IN2,IN2,70,61.44845256408107,-1.0,99.91520800403022,45.2147395627252,43.45588469430373,42.513183370780276
1(IN3),1,IN3,IN3,33,48.8715996723342,-1.0,81.87495382621671,49.571873269762314,49.884668373378034,55.75126341471595
1(OUT2),1,OUT2,OUT2,419,0.9988982669951483,-1.0,96.67720192402062,25.254345784868512,2.543488522739144,79.62576940725863
1(OUT3),1,OUT3,OUT3,48,72.50483290193789,-1.0,97.29396521638358,45.36092338562012,40.00865655539429,75.19719458653633
10(IN2),10,IN2,IN2,113,53.83068508767891,-1.0,103.15318974337657,41.551903049055355,33.8109357488749,49.07219076219092
10(IN3),10,IN3,IN3,93,62.274103347017295,-1.0,102.69061756433258,48.59138092627892,43.93782499937816,55.018395680587396
10(OUT1),10,OUT1,OUT1,32,50.24188750952928,43.01904312481781,63.5263282303458,16.737817423684255,17.5082283710305,66.85727452084251
11(IN2),11,IN2,IN2,98,30.0124512914812,-1.0,96.2146375601328,34.602397402850066,32.461047487795966,46.4195627454753
11(IN3),11,IN3,IN3,54,31.16755196755973,-1.0,98.68167533172353,58.753564585172214,44.9827662507569,29.293294343224368
12(IN2),12,IN2,IN2,125,53.69829762659006,-1.0,102.84480878369129,39.01937848871405,32.87365647878511,48.885622276068545
13(IN2),13,IN2,IN2,118,59.530928065351695,-1.0,103.15318858176794,40.73525802243141,36.85500811623736,45.684348046027914
14(IN2),14,IN2,IN2,126,39.074117154821195,-1.0,103.15318663831182,42.84842394123907,33.15459099545494,45.24227801152441
15(IN2),15,IN2,IN2,117,46.52470721655083,-1.0,103.15318858917162,44.06474560546875,35.81850287835515,51.55436808759961
16(IN2),16,IN2,IN2,79,49.4958221298488,-1.0,103.1531891289596,46.603112175885364,38.991687324978194,56.06484988669982
17(IN2),17,IN2,IN2,41,54.71397493648486,-1.0,103.15318912942574,43.38698172569275,28.970994378195385,71.11066273093525
2(IN1),2,IN1,IN1,58,58.553968895226184,-1.0,91.12636432946937,54.27110497610909,51.76086048010877,47.6831115522521
2(IN2),2,IN2,IN2,86,47.14261700814602,-1.0,103.15318770562335,45.72560296492143,43.383825918974075,45.91388859612542
2(IN3),2,IN3,IN3,96,54.23941382691209,-1.0,102.69061913620278,43.84720299762228,31.560837456465062,56.747768524959135
2(OUT1),2,OUT1,OUT1,416,62.486306663724626,-1.0,96.67720893679007,69.64558915224943,2.114806103078689,65.56888740900972
2(OUT2),2,OUT2,OUT2,49,70.11425267584517,-1.0,100.37777095313572,44.130069767345084,45.29853335329044,67.7167550349657
2(OUT2->OUT3),2,OUT2->OUT3,OUT3,17,29.188861541880154,-1.0,103.15318897934601,35.0381339263916,33.51090319186659,62.58459824830663
2(OUT3),2,OUT3,OUT3,100,39.82597958997923,-1.0,103.15318872041274,40.90062745979854,40.273999674170554,57.7070822639575
3(IN2),3,IN2,IN2,86,49.06458886937938,-1.0,102.69061350357696,45.11827691730701,35.153044313464086,50.96357771267455
3(IN3),3,IN3,IN3,68,55.18691912469398,-1.0,96.21463657526397,43.161766656239834,40.16653817948211,44.58340943868694
3(OUT1),3,OUT1,OUT1,557,78.16057463772357,-1.0,89.2760827496087,18.935362681303875,3.8526557852163723,65.83538657851722
3(OUT2),3,OUT2,OUT2,247,78.82166385470065,-1.0,103.1531913722713,25.99570282130945,14.394731834643089,54.24238422716369
3(OUT3),3,OUT3,OUT3,106,56.565049236372,-1.0,102.84480779321848,41.50047559261322,40.3241823988367,76.169481232582
4(IN2),4,IN2,IN2,95,52.230534658509214,-1.0,102.22804645326828,38.62385490759095,31.87031574959241,50.85021576738378
4(IN3),4,IN3,IN3,38,63.309306070466306,-1.0,86.80903537298212,44.06835431794863,44.07026005098333,42.93440139502644
4(OUT1),4,OUT1,OUT1,4,20.007845409156374,-1.0,83.0313816366255,11.923140048980713,2.531871606786567,79.23373325997916
4(OUT2),4,OUT2,OUT2,72,48.22657712787539,-1.0,77.09506229316251,33.223122572494766,29.597358297167073,81.20534370915068
4(OUT3),4,OUT3,OUT3,87,61.06418154517418,-1.0,103.15318987790518,41.624215379401825,39.638322468879664,67.47339025097232
5(IN2),5,IN2,IN2,51,52.23914552246924,-1.0,85.11294856387353,37.64610251915164,37.66234840472156,33.37474313483287
5(IN3),5,IN3,IN3,71,53.45353612679475,-1.0,101.9196698604887,43.09756510074322,43.10985307561572,29.649929747338238
5(OUT1),5,OUT1,OUT1,111,49.57804345444846,-1.0,95.75206390531798,31.11853136394335,26.06949544517987,63.625857193024984
5(OUT3),5,OUT3,OUT3,42,46.47595186862571,-1.0,72.16097678462356,42.571630928733136,37.439454471914814,60.047424422790314
6(IN2),6,IN2,IN2,71,45.643204228267386,-1.0,91.58893753441707,36.55076544741367,35.32795307531332,50.12346966224659
6(IN3),6,IN3,IN3,76,54.24299098099809,-1.0,103.15318945961144,43.87989590085786,40.585624928909915,42.50518730118778
6(OUT1),6,OUT1,OUT1,60,59.93377546026592,-1.0,94.82692297219552,25.89102963579112,26.255599568751787,57.42312536492604
6(OUT3),6,OUT3,OUT3,14,54.15377406958729,45.177710031930104,82.49171396825177,37.43865880966187,37.50896202550427,82.54522150866157
7(IN2),7,IN2,IN2,93,59.185447901499714,-1.0,103.15318755210863,34.245907449722296,32.91084394291369,42.02191303656566
7(IN3),7,IN3,IN3,57,11.211696858402359,-1.0,73.31740329794027,47.14337300387296,42.493430137717276,23.95064536801891
7(OUT1),7,OUT1,OUT1,171,62.48638131316344,-1.0,101.14872221149301,16.732497774588097,12.714636801829124,57.34940414205745
8(IN2),8,IN2,IN2,82,67.50239455213088,-1.0,94.98111895597468,32.462343067593046,33.15190397781826,16.082162733750224
8(IN3),8,IN3,IN3,89,65.737267796638,-1.0,103.15318689617573,38.32541084289551,35.075728467436036,43.36509420692141
8(OUT1),8,OUT1,OUT1,117,48.083320061149024,-1.0,102.84481529095164,13.4807183606284,12.739322593358898,73.47319414737298
9(IN2),9,IN2,IN2,95,59.13954512495115,-1.0,102.3822361970357,32.3602848900689,31.82437985190523,42.763996028161436
9(IN3),9,IN3,IN3,82,55.108443685309915,-1.0,103.15318881015718,45.15778854915074,36.97116158056414,48.67392722171616
9(OUT1),9,OUT1,OUT1,22,71.29200971126545,-1.0,91.28055319084551,5.9814418137073515,6.076440328008652,60.389911073072646
