Time,Global_ID,Local_ID,Lane_Path,Final_Lane,Unique_Key,Radar_Dist,Radar_Vel,Track_Vel,Score,Reproj_Error_px
1771498025.5803037,15,1,IN2,IN2,1(IN2),-1.0,,50.445302922481666,73.01125064688662,
1771498025.5803037,14,1,IN3,IN3,1(IN3),59.209008677469264,51.1900131225586,50.91692670412013,29.819919682713085,
1771498025.5803037,13,2,OUT1,OUT1,2(OUT1),47.79893766182963,25.43603096008301,25.31894413111106,24.414434063631898,88.05574035644531
1771498025.5803037,5,1,OUT1,OUT1,1(OUT1),95.75207139853822,,65.24018095637975,35.17937614474154,
1771498025.5803037,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498025.629325,15,1,IN2,IN2,1(IN2),-1.0,,50.445302922481666,73.01125064688662,
1771498025.629325,14,1,IN3,IN3,1(IN3),58.74643657125754,51.1900131225586,51.00647763947274,29.31856223302799,
1771498025.629325,13,2,OUT1,OUT1,2(OUT1),48.107319156061784,25.43603096008301,25.35884920939575,25.887269484885415,
1771498025.629325,5,1,OUT1,OUT1,1(OUT1),96.21463712970555,,64.65192602779088,35.17937614474154,
1771498025.629325,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498025.6856794,15,1,IN2,IN2,1(IN2),58.74643428562054,51.507964324951175,51.06110790856318,70.93834498890723,
1771498025.6856794,14,1,IN3,IN3,1(IN3),58.59224641539877,51.507964324951175,51.170925945120075,28.728716925383836,65.40055847167969
1771498025.6856794,13,2,OUT1,OUT1,2(OUT1),48.801173490786624,25.43603096008301,25.384604439628863,27.06958722707582,87.67569732666016
1771498025.6856794,5,1,OUT1,OUT1,1(OUT1),96.21463551589345,,63.97567175532994,35.17937614474154,
1771498025.6856794,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498025.7422655,15,1,IN2,IN2,1(IN2),-1.0,,51.06110790856318,70.79646829892941,
1771498025.7422655,14,1,IN3,IN3,1(IN3),58.12967415529863,51.507964324951175,51.281448099476584,28.05988906828815,64.47166442871094
1771498025.7422655,13,2,OUT1,OUT1,2(OUT1),-1.0,,25.384604439628863,27.01544805262167,90.50542449951172
1771498025.7422655,5,1,OUT1,OUT1,1(OUT1),-1.0,,63.29663942958531,35.17937614474154,
1771498025.7422655,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498025.8078194,15,1,IN2,IN2,1(IN2),-1.0,,51.06110790856318,70.79646829892941,
1771498025.8078194,14,1,IN3,IN3,1(IN3),56.896155462233324,51.42847652435303,51.32966189061751,27.42144081757935,67.00787353515625
1771498025.8078194,13,2,OUT1,OUT1,2(OUT1),49.26374346134422,25.43603096008301,25.404933028549856,28.349302267422825,
1771498025.8078194,5,1,OUT1,OUT1,1(OUT1),96.36882837777107,,62.50999258662877,35.17937614474154,
1771498025.8078194,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498025.8634334,15,1,IN2,IN2,1(IN2),56.896155224619356,51.666939926147464,51.37277433379956,68.84939853376635,65.34154510498047
1771498025.8634334,14,1,IN3,IN3,1(IN3),55.81682673428342,51.666939926147464,51.440262631099415,26.811347090750136,63.25125503540039
1771498025.8634334,13,2,OUT1,OUT1,2(OUT1),49.95760116373557,25.43603096008301,25.416036069157226,29.62036955047038,88.1443099975586
1771498025.8634334,5,1,OUT1,OUT1,1(OUT1),95.75207139853822,,61.842624651448105,35.17937614474154,
1771498025.8634334,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498025.9151645,15,1,IN2,IN2,1(IN2),55.35425497828942,51.666939926147464,51.49126032354697,66.8798308166764,
1771498025.9151645,14,1,IN3,IN3,1(IN3),54.583304681039145,51.666939926147464,51.51459500372174,26.227758880555406,63.899200439453125
1771498025.9151645,13,2,OUT1,OUT1,2(OUT1),50.728547869595864,25.43603096008301,25.422850713812963,30.77956525423798,
1771498025.9151645,5,1,OUT1,OUT1,1(OUT1),95.90625855069175,,61.22185133601842,35.17937614474154,
1771498025.9151645,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498025.9643075,15,1,IN2,IN2,1(IN2),54.42911222824406,51.666939926147464,51.55452560754123,65.01968916525328,
1771498025.9643075,14,1,IN3,IN3,1(IN3),54.2749238285059,51.507964324951175,51.51242066118602,25.66898452557084,63.899600982666016
1771498025.9643075,13,2,OUT1,OUT1,2(OUT1),50.57435998378771,25.43603096008301,25.427248925961926,31.964344556041716,
1771498025.9643075,5,1,OUT1,OUT1,1(OUT1),96.52301830284893,,60.6321344247025,35.17937614474154,
1771498025.9643075,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498026.0186584,15,1,IN2,IN2,1(IN2),65.9933738007641,51.666939926147464,51.59298884996773,63.26009733992604,64.37802124023438
1771498026.0186584,14,1,IN3,IN3,1(IN3),54.12073395039991,51.666939926147464,51.5630908597935,25.13347332169064,62.36381912231445
1771498026.0186584,13,2,OUT1,OUT1,2(OUT1),51.80787989209193,25.43603096008301,25.430151566500758,33.07415418786195,
1771498026.0186584,5,1,OUT1,OUT1,1(OUT1),-1.0,,59.9799241891068,35.17937614474154,
1771498026.0186584,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498026.0751252,15,1,IN2,IN2,1(IN2),89.2760882912373,41.49252548217773,50.91538703569771,61.7378681477394,63.38016128540039
1771498026.0751252,14,1,IN3,IN3,1(IN3),52.733020069107056,51.666939926147464,51.59714520775682,24.619801140178282,62.55815124511719
1771498026.0751252,13,2,OUT1,OUT1,2(OUT1),51.34530622756677,25.43603096008301,25.43208643575261,34.22984534097437,
1771498026.0751252,5,1,OUT1,OUT1,1(OUT1),95.75207139853822,,59.30232237483678,35.17937614474154,80.18070983886719
1771498026.0751252,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498026.1284046,15,1,IN2,IN2,1(IN2),-1.0,,50.2760342372358,61.614392411443916,65.2243423461914
1771498026.1284046,14,1,IN3,IN3,1(IN3),51.653689758730984,51.348988723754886,51.515769346121324,24.126657771380568,61.056663513183594
1771498026.1284046,13,2,OUT1,OUT1,2(OUT1),51.807879907705534,25.43603096008301,25.433382016438483,35.48979188538402,
1771498026.1284046,5,1,OUT1,OUT1,1(OUT1),-1.0,,58.66296957637486,35.17937614474154,
1771498026.1284046,3,1,OUT2,OUT2,1(OUT2),-1.0,,0.0,79.84,
1771498026.1837146,29,2,IN2,IN2,2(IN2),-1.0,,0.0,79.84,
1771498026.1837146,15,1,IN2,IN2,1(IN2),51.80787782279523,51.507964324951175,49.61231410631539,60.20473061910294,65.2904281616211
1771498026.1837146,14,1,IN3,IN3,1(IN3),51.65368820523952,51.507964324951175,51.51320991139478,23.652835757272243,60.02190017700195
1771498026.1837146,13,2,OUT1,OUT1,2(OUT1),52.73302043427361,25.43603096008301,25.434251294732295,36.65706432260826,88.66382598876953
