Dist_Bin_m,Count,Radar_Vel_Mean,Radar_Vel_Std,Track_Vel_Mean,Track_Vel_Std,Score_Mean
-10.0,0,,,23.708793280611225,26.888532445287552,56.8702100857709
20.0,2,35.054032516479495,1.2365375544816686,39.05417661252198,4.881626359723936,43.897655714357015
30.0,22,32.163573282415214,7.4526241313381645,33.21908772623888,6.911320920029582,34.836063228295934
40.0,346,35.33430565409578,14.238889879695448,34.51474321937251,9.753648271996212,33.9378067977843
50.0,526,35.59004369416618,16.495871797439744,34.28196532941342,11.639584470101322,36.446540056183885
60.0,558,38.571143876352615,18.415868963306462,35.99768080626243,12.607191099677562,39.370034381526914
70.0,523,39.435576355753625,22.20658214282609,36.18711020197614,13.101092744592526,41.77618460246624
80.0,464,38.585918841485324,18.280370554154047,26.613188131806112,19.285250104867963,48.771927856401405
90.0,294,38.6025848588165,19.55359576327393,17.91896192938864,19.626746210476018,44.71459092224834
100.0,62,40.797651282433534,16.920518180500626,30.7259972647824,12.523747658271066,59.74621914910609
